width=100.0 height=100.0 borderType=0
Nodes: 10
time, xpos, ypos

0.0, 25.0, 25.0
0.0, 26.0, 25.0
0.0, 27.0, 25.0
0.0, 28.0, 25.0
0.0, 29.0, 25.0
0.0, 30.0, 25.0
0.0, 31.0, 25.0
0.0, 32.0, 25.0
0.0, 33.0, 25.0
0.0, 34.0, 25.0
1.0, 25.0, 25.0
1.0, 26.0, 25.0
1.0, 27.0, 25.0
1.0, 28.0, 25.0
1.0, 29.0, 25.0
1.0, 30.0, 25.0
1.0, 31.0, 25.0
1.0, 32.0, 25.0
1.0, 33.0, 25.0
1.0, 34.0, 25.0
2.0, 26.691, 23.726
2.0, 27.598, 23.442
2.0, 28.495, 26.988
2.0, 26.986, 23.282
2.0, 27.817, 23.339
2.0, 28.769, 23.19
2.0, 29.948, 23.815
2.0, 33.964, 23.804
2.0, 34.031, 23.91
2.0, 32.464, 26.158
3.0, 25.529, 25.27
3.0, 26.552, 21.616
3.0, 27.327, 25.98
3.0, 28.436, 24.517
3.0, 26.262, 22.055
3.0, 27.162, 21.306
3.0, 27.996, 21.818
3.0, 32.305, 25.259
3.0, 35.689, 25.689
3.0, 33.755, 27.739
4.0, 23.941, 23.612
4.0, 24.817, 23.429
4.0, 26.232, 27.423
4.0, 26.861, 25.687
4.0, 24.913, 23.166
4.0, 25.462, 23.237
4.0, 26.74, 20.351
4.0, 34.288, 23.712
4.0, 36.793, 27.294
4.0, 35.27, 29.576
5.0, 22.537, 25.539
5.0, 23.34, 25.268
5.0, 24.596, 29.171
5.0, 28.854, 27.672
5.0, 26.752, 24.921
5.0, 23.94, 24.714
5.0, 25.466, 22.19
5.0, 32.641, 22.698
5.0, 35.185, 26.225
5.0, 36.596, 28.31
6.0, 21.222, 27.365
6.0, 21.393, 27.007
6.0, 25.87, 30.542
6.0, 27.095, 25.743
6.0, 28.503, 26.286
6.0, 25.461, 26.606
6.0, 24.238, 23.295
6.0, 34.086, 24.353
6.0, 36.981, 27.73
6.0, 38.365, 29.396
7.0, 20.171, 26.284
7.0, 19.86, 28.133
7.0, 27.586, 29.068
7.0, 28.502, 24.209
7.0, 29.939, 25.027
7.0, 23.825, 28.138
7.0, 22.779, 22.209
7.0, 35.526, 22.361
7.0, 35.828, 29.129
7.0, 39.822, 28.319
8.0, 21.751, 27.547
8.0, 20.913, 26.684
8.0, 26.022, 30.141
8.0, 26.92, 22.732
8.0, 27.962, 26.184
8.0, 21.889, 27.086
8.0, 21.585, 20.667
8.0, 37.48, 20.425
8.0, 33.909, 30.535
8.0, 38.29, 26.553
9.0, 19.9, 25.555
9.0, 22.43, 25.564
9.0, 24.141, 32.126
9.0, 25.215, 24.016
9.0, 26.168, 27.824
9.0, 20.347, 28.703
9.0, 23.257, 21.844
9.0, 36.136, 22.085
9.0, 35.364, 29.338
9.0, 37.161, 25.174
10.0, 18.525, 26.717
10.0, 21.044, 26.755
10.0, 22.931, 30.931
10.0, 23.841, 25.678
10.0, 24.591, 29.537
10.0, 18.583, 27.672
10.0, 24.961, 23.529
10.0, 37.863, 20.14
10.0, 36.771, 27.832
10.0, 38.947, 26.226
11.0, 17.307, 24.931
11.0, 20.027, 25.406
11.0, 21.06, 29.386
11.0, 22.404, 24.248
11.0, 26.193, 27.93
11.0, 16.932, 26.645
11.0, 22.975, 24.729
11.0, 36.76, 21.623
11.0, 38.012, 26.803
11.0, 40.443, 27.288
12.0, 18.532, 26.289
12.0, 18.797, 24.171
12.0, 22.645, 31.234
12.0, 24.335, 22.911
12.0, 27.941, 26.741
12.0, 15.532, 27.877
12.0, 21.249, 26.515
12.0, 38.336, 19.721
12.0, 36.068, 27.824
12.0, 39.11, 26.209
13.0, 20.056, 28.149
13.0, 17.598, 25.501
13.0, 20.873, 33.064
13.0, 25.66, 21.676
13.0, 26.159, 25.121
13.0, 16.829, 29.43
13.0, 19.849, 24.666
13.0, 36.736, 21.247
13.0, 38.048, 29.569
13.0, 40.961, 27.906
14.0, 18.406, 26.369
14.0, 16.506, 27.416
14.0, 19.822, 31.558
14.0, 23.897, 23.071
14.0, 24.424, 26.25
14.0, 17.985, 31.426
14.0, 21.56, 26.255
14.0, 35.277, 22.346
14.0, 39.854, 30.717
14.0, 42.659, 26.17
15.0, 20.248, 24.583
15.0, 15.329, 29.284
15.0, 21.617, 29.667
15.0, 25.136, 21.124
15.0, 23.0, 27.294
15.0, 16.557, 32.585
15.0, 22.619, 24.367
15.0, 36.675, 21.343
15.0, 38.341, 32.097
15.0, 43.787, 27.259
16.0, 21.573, 22.659
16.0, 14.026, 30.579
16.0, 23.399, 28.505
16.0, 23.223, 19.423
16.0, 21.559, 25.851
16.0, 17.987, 34.501
16.0, 21.522, 23.123
16.0, 37.8, 23.054
16.0, 39.755, 31.047
16.0, 42.422, 26.163
17.0, 19.914, 24.136
17.0, 12.051, 31.819
17.0, 22.132, 30.148
17.0, 21.232, 17.555
17.0, 20.376, 26.924
17.0, 16.603, 33.458
17.0, 20.339, 21.48
17.0, 39.404, 21.583
17.0, 38.113, 29.708
17.0, 40.427, 27.882
18.0, 18.461, 25.986
18.0, 13.504, 33.819
18.0, 23.179, 28.881
18.0, 23.098, 16.143
18.0, 22.106, 25.523
18.0, 15.396, 35.24
18.0, 18.549, 22.977
18.0, 38.069, 20.083
18.0, 37.035, 31.061
18.0, 38.582, 28.884
19.0, 19.491, 27.118
19.0, 15.065, 32.044
19.0, 24.503, 27.516
19.0, 24.572, 15.085
19.0, 23.742, 23.594
19.0, 16.642, 36.844
19.0, 19.757, 21.966
19.0, 39.642, 21.247
19.0, 35.864, 29.72
19.0, 37.558, 30.471
20.0, 17.649, 28.308
20.0, 13.905, 30.367
20.0, 23.061, 25.586
20.0, 25.605, 13.887
20.0, 25.7, 22.438
20.0, 15.251, 38.523
20.0, 20.841, 20.324
20.0, 40.804, 19.334
20.0, 34.397, 28.055
20.0, 36.482, 31.756
21.0, 19.356, 29.751
21.0, 12.438, 29.032
21.0, 21.248, 23.857
21.0, 27.234, 15.081
21.0, 26.788, 20.621
21.0, 13.978, 36.73
21.0, 22.469, 21.809
21.0, 42.743, 21.312
21.0, 36.313, 26.417
21.0, 35.041, 29.812
22.0, 20.549, 31.433
22.0, 14.104, 30.643
22.0, 22.835, 21.969
22.0, 28.558, 16.935
22.0, 27.98, 21.892
22.0, 12.509, 35.001
22.0, 24.02, 23.561
22.0, 40.858, 20.242
22.0, 37.585, 28.038
22.0, 33.389, 30.951
23.0, 18.844, 29.859
23.0, 15.601, 31.823
23.0, 20.929, 23.808
23.0, 30.298, 17.995
23.0, 29.323, 20.724
23.0, 14.434, 33.639
23.0, 25.066, 21.857
23.0, 42.338, 18.643
23.0, 36.43, 27.035
23.0, 31.42, 32.371
24.0, 17.753, 28.137
24.0, 17.373, 33.798
24.0, 19.153, 22.062
24.0, 31.595, 19.806
24.0, 30.969, 22.506
24.0, 15.45, 31.669
24.0, 23.685, 20.189
24.0, 40.391, 19.798
24.0, 38.014, 25.095
24.0, 30.029, 31.24
25.0, 15.909, 29.549
25.0, 18.378, 35.539
25.0, 21.064, 23.861
25.0, 33.159, 18.61
25.0, 29.039, 24.139
25.0, 17.411, 30.156
25.0, 25.615, 21.209
25.0, 39.076, 21.068
25.0, 39.068, 23.109
25.0, 31.265, 32.29
26.0, 14.705, 28.115
26.0, 16.781, 36.773
26.0, 19.982, 21.868
26.0, 31.767, 17.578
26.0, 27.215, 25.408
26.0, 18.924, 28.264
26.0, 27.298, 19.944
26.0, 40.591, 19.374
26.0, 37.594, 21.11
26.0, 29.538, 30.931
